ClusterConservation	TotalGeneNumber	PanGenome	CoreGenome
1	5333	4914	4914
1	4145	3911	3911
1	4619	4328	4328
1	4226	3969	3969
1	4428	4153	4153
2	9478	5444	3381
2	9559	5489	3394
2	9761	5406	3661
2	8845	4904	3393
2	8573	4820	3244
2	8654	4857	3265
2	8764	4860	3379
2	8371	4057	3823
2	9047	4897	3584
2	9952	5384	3858
3	14380	5757	3465
3	12799	4941	3240
3	12990	4980	3367
3	13192	5345	3160
3	14097	5837	3302
3	13704	5566	3370
3	14178	5879	3313
3	13273	5384	3176
3	13987	5892	3176
3	13906	5855	3163
4	18606	6221	3118
4	17418	5459	3157
4	18132	5969	3159
4	18525	6183	3106
4	18323	5953	3293
5	22751	6295	3103
